movieId,title,genres,prom_visualizacion,%_view_movie,sum_likes,sum_dislikes
85,Angels and Insects (1995),Drama|Romance,10,50,248,34
86,White Squall (1996),Action|Adventure|Drama,12,29,306,32
87,Dunston Checks In (1996),Children|Comedy,10,36,387,33
88,Black Sheep (1996),Comedy,11,26,376,30
89,Nick of Time (1995),Action|Thriller,12,44,225,25
90,The Journey of August King (1995),Drama,11,16,380,32
92,Mary Reilly (1996),Drama|Horror|Thriller,10,13,307,38
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,11,11,364,30
94,Beautiful Girls (1996),Comedy|Drama|Romance,5,17,130,13
95,Broken Arrow (1996),Action|Adventure|Thriller,8,22,137,10
96,In the Bleak Midwinter (1995),Comedy|Drama,5,44,145,10
97,"Hate (Haine, La) (1995)",Crime|Drama,6,18,96,9
98,Shopping (1994),Action|Thriller,11,15,305,26
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,10,10,331,36
100,City Hall (1996),Drama|Thriller,10,11,396,23
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,11,40,384,32
102,Mr. Wrong (1996),Comedy,11,31,260,26
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,7,40,181,5
104,Happy Gilmore (1996),Comedy,9,12,53,1
105,"Bridges of Madison County, The (1995)",Drama|Romance,11,23,367,32
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,8,44,112,4
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,10,27,261,21
108,Catwalk (1996),Documentary,9,28,156,9
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,12,42,295,32
110,Braveheart (1995),Action|Drama|War,10,40,357,37
111,Taxi Driver (1976),Crime|Drama|Thriller,10,17,308,37
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,11,24,380,23
113,Before and After (1996),Drama|Mystery,7,13,175,13
114,Margaret's Museum (1995),Drama,8,50,120,11
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,10,11,288,39
116,Anne Frank Remembered (1995),Documentary,12,29,344,24
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,9,42,37,14
118,If Lucy Fell (1996),Comedy|Romance,10,31,346,37
119,"Steal Big, Steal Little (1995)",Comedy,12,37,228,27
120,Race the Sun (1996),Adventure|Comedy|Drama,5,39,184,18
121,"Boys of St. Vincent, The (1992)",Drama,5,39,189,19
122,Boomerang (1992),Comedy|Romance,12,13,355,39
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,9,50,166,0
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,6,46,196,0
125,Flirting With Disaster (1996),Comedy,7,38,173,5
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,9,30,5,3
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,6,48,58,4
128,Jupiter's Wife (1994),Documentary,7,23,113,8
129,Pie in the Sky (1996),Comedy|Romance,6,42,146,6
130,Angela (1995),Drama,11,42,373,38
131,Frankie Starlight (1995),Drama|Romance,10,48,209,33
132,Jade (1995),Thriller,9,26,109,3
133,Nueba Yol (1995),Comedy|Drama,7,45,89,2
134,Sonic Outlaws (1995),Documentary,7,21,60,11
135,Down Periscope (1996),Comedy,9,16,193,19
136,From the Journals of Jean Seberg (1995),Documentary,12,12,380,28
137,Man of the Year (1995),Documentary,8,38,44,4
138,"Neon Bible, The (1995)",Drama,8,29,85,18
139,Target (1995),Action|Drama,6,47,14,4
140,Up Close and Personal (1996),Drama|Romance,9,44,96,12
141,"Birdcage, The (1996)",Comedy,11,48,248,38
142,Shadows (Cienie) (1988),Drama,5,33,118,7
143,Gospa (1995),Drama,11,11,218,30
144,"Brothers McMullen, The (1995)",Comedy,7,19,141,19
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,6,36,146,5
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,9,19,14,16
147,"Basketball Diaries, The (1995)",Drama,7,47,168,8
148,"Awfully Big Adventure, An (1995)",Drama,7,25,135,15
149,Amateur (1994),Crime|Drama|Thriller,8,44,188,18
150,Apollo 13 (1995),Adventure|Drama|IMAX,10,13,214,29
151,Rob Roy (1995),Action|Drama|Romance|War,7,37,44,3
152,"Addiction, The (1995)",Drama|Horror,11,44,227,39
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,9,35,5,17
154,Beauty of the Day (Belle de jour) (1967),Drama,12,17,312,38
155,Beyond Rangoon (1995),Adventure|Drama|War,11,41,335,26
156,Blue in the Face (1995),Comedy|Drama,11,16,350,36
157,Canadian Bacon (1995),Comedy|War,5,30,47,9
158,Casper (1995),Adventure|Children,10,24,384,21
159,Clockers (1995),Crime|Drama|Mystery,11,44,381,39
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,12,42,364,26
161,Crimson Tide (1995),Drama|Thriller|War,5,14,158,8
162,Crumb (1994),Documentary,11,10,259,38
163,Desperado (1995),Action|Romance|Western,9,21,21,5
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,8,26,66,4
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,11,49,245,29
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,5,49,147,14
167,Feast of July (1995),Drama,11,26,206,39
168,First Knight (1995),Action|Drama|Romance,11,37,335,29
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,8,13,190,9
170,Hackers (1995),Action|Adventure|Crime|Thriller,7,18,12,10
171,Jeffrey (1995),Comedy|Drama,9,39,190,5
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,5,25,41,13
173,Judge Dredd (1995),Action|Crime|Sci-Fi,12,44,200,19
174,Jury Duty (1995),Comedy,7,23,184,19
175,Kids (1995),Drama,5,27,96,6
176,Living in Oblivion (1995),Comedy,8,26,9,19
177,Lord of Illusions (1995),Horror,10,33,262,34
178,Love & Human Remains (1993),Comedy|Drama,7,20,110,5
179,Mad Love (1995),Drama|Romance,9,38,74,9
180,Mallrats (1995),Comedy|Romance,12,47,237,36
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,8,42,93,19
182,Moonlight and Valentino (1995),Drama|Romance,6,43,147,12
183,Mute Witness (1994),Comedy|Horror|Thriller,8,45,150,3
184,Nadja (1994),Drama,6,50,18,15
185,"Net, The (1995)",Action|Crime|Thriller,7,10,22,15
186,Nine Months (1995),Comedy|Romance,10,47,201,39
187,Party Girl (1995),Comedy,5,43,196,5
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,8,11,104,5
189,Reckless (1995),Comedy|Fantasy,11,37,356,28
190,Safe (1995),Thriller,8,34,69,14
191,"Scarlet Letter, The (1995)",Drama|Romance,9,30,137,8
192,The Show (1995),Documentary,9,40,128,16
193,Showgirls (1995),Drama,9,32,1,14
194,Smoke (1995),Comedy|Drama,7,18,154,17
195,Something to Talk About (1995),Comedy|Drama|Romance,11,13,377,26
196,Species (1995),Horror|Sci-Fi,5,28,88,6
197,"Stars Fell on Henrietta, The (1995)",Drama,11,27,208,39
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,6,19,83,2
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,5,11,54,13
200,"Tie That Binds, The (1995)",Thriller,11,33,321,33
201,Three Wishes (1995),Drama|Fantasy,8,20,35,19
202,Total Eclipse (1995),Drama|Romance,12,22,390,27
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,12,47,278,24
204,Under Siege 2: Dark Territory (1995),Action,6,22,91,16
205,Unstrung Heroes (1995),Comedy|Drama,11,10,262,23
206,Unzipped (1995),Documentary,11,41,261,37
207,"Walk in the Clouds, A (1995)",Drama|Romance,12,11,393,20
208,Waterworld (1995),Action|Adventure|Sci-Fi,11,30,261,22
209,White Man's Burden (1995),Drama,5,36,67,9
210,Wild Bill (1995),Western,9,36,6,8
211,"Browning Version, The (1994)",Drama,6,21,135,4
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,6,34,12,11
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,8,25,151,14
214,Before the Rain (Pred dozhdot) (1994),Drama|War,11,39,358,29
215,Before Sunrise (1995),Drama|Romance,8,39,57,17
216,Billy Madison (1995),Comedy,10,32,311,28
217,"Babysitter, The (1995)",Drama|Thriller,10,41,294,36
218,Boys on the Side (1995),Comedy|Drama,12,11,255,25
219,"Cure, The (1995)",Drama,5,29,98,4
220,Castle Freak (1995),Horror,5,45,88,8
222,Circle of Friends (1995),Drama|Romance,10,43,218,37
223,Clerks (1994),Comedy,9,40,148,17
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,10,20,212,22
225,Disclosure (1994),Drama|Thriller,12,41,388,23
226,Dream Man (1995),Thriller,8,38,74,1
227,Drop Zone (1994),Action|Thriller,8,24,145,17
228,Destiny Turns on the Radio (1995),Comedy,7,42,54,3
229,Death and the Maiden (1994),Drama|Thriller,12,30,364,28
230,Dolores Claiborne (1995),Drama|Thriller,10,25,325,24
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,7,13,102,5
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,12,38,367,35
233,Exotica (1994),Drama,6,43,70,18
234,Exit to Eden (1994),Comedy,12,30,338,21
235,Ed Wood (1994),Comedy|Drama,5,45,51,17
236,French Kiss (1995),Action|Comedy|Romance,5,22,32,3
237,Forget Paris (1995),Comedy|Romance,12,18,228,22
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,12,30,338,21
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,7,25,68,14
240,Hideaway (1995),Thriller,7,12,187,15
241,Fluke (1995),Children|Drama,8,28,110,4
242,Farinelli: il castrato (1994),Drama|Musical,10,25,399,22
243,Gordy (1995),Children|Comedy|Fantasy,5,31,169,14
244,Gumby: The Movie (1995),Animation|Children,7,14,124,1
245,The Glass Shield (1994),Crime|Drama,9,44,107,6
246,Hoop Dreams (1994),Documentary,12,33,304,20
247,Heavenly Creatures (1994),Crime|Drama,8,23,121,7
248,Houseguest (1994),Comedy,9,17,185,8
249,Immortal Beloved (1994),Drama|Romance,11,34,353,21
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,9,16,109,17
251,"Hunted, The (1995)",Action,5,23,174,5
252,I.Q. (1994),Comedy|Romance,8,12,45,0
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,6,16,74,6
254,Jefferson in Paris (1995),Drama,9,18,26,12
255,"Jerky Boys, The (1995)",Comedy,8,20,44,0
256,Junior (1994),Comedy|Sci-Fi,5,22,47,4
257,Just Cause (1995),Mystery|Thriller,6,46,63,8
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,8,42,199,11
259,Kiss of Death (1995),Crime|Drama|Thriller,10,22,246,26
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,6,36,101,9
261,Little Women (1994),Drama,12,40,293,24
262,"Little Princess, A (1995)",Children|Drama,10,31,310,36
263,Ladybird Ladybird (1994),Drama,8,45,197,15
264,"Enfer, L' (1994)",Drama,10,13,398,33
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,10,20,338,25
266,Legends of the Fall (1994),Drama|Romance|War|Western,9,12,106,19
267,Major Payne (1995),Comedy,9,31,14,6
268,Little Odessa (1994),Crime|Drama,6,33,137,17
269,My Crazy Life (Mi vida loca) (1993),Drama,6,40,25,4
270,Love Affair (1994),Drama|Romance,5,36,140,2
271,Losing Isaiah (1995),Drama,11,18,329,36
272,"Madness of King George, The (1994)",Comedy|Drama,12,48,219,26
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,6,22,53,19
274,Man of the House (1995),Comedy,11,18,366,28
275,Mixed Nuts (1994),Comedy,10,31,206,28
276,Milk Money (1994),Comedy|Romance,7,34,89,12
277,Miracle on 34th Street (1994),Drama,5,28,93,3
278,Miami Rhapsody (1995),Comedy,12,16,240,25
279,My Family (1995),Drama,11,30,209,28
280,Murder in the First (1995),Drama|Thriller,12,14,223,37
281,Nobody's Fool (1994),Comedy|Drama|Romance,9,12,108,9
282,Nell (1994),Drama,6,33,53,10
283,New Jersey Drive (1995),Crime|Drama,5,16,190,2
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,7,44,70,1
285,Beyond Bedlam (1993),Drama|Horror,6,22,77,8
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,8,35,99,18
287,Nina Takes a Lover (1994),Comedy|Romance,6,30,93,18
288,Natural Born Killers (1994),Action|Crime|Thriller,6,28,96,1
289,Only You (1994),Comedy|Romance,10,37,219,21
290,Once Were Warriors (1994),Crime|Drama,5,33,12,13
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,12,44,318,34
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,8,16,13,13
294,"Perez Family, The (1995)",Comedy|Romance,12,49,270,26
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,5,16,54,4
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,6,50,86,1
297,Panther (1995),Drama,9,49,141,10
298,Pushing Hands (Tui shou) (1992),Drama,9,17,19,3
299,Priest (1994),Drama,5,16,7,13
300,Quiz Show (1994),Drama,10,34,268,34
301,Picture Bride (Bijo photo) (1994),Drama|Romance,12,37,371,30
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,7,47,101,2
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,6,29,31,15
304,Roommates (1995),Comedy|Drama,6,16,134,16
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,11,47,269,24
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,5,17,119,19
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,9,32,21,9
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,12,22,348,30
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,9,29,169,16
310,Rent-a-Kid (1995),Comedy,6,35,47,5
311,Relative Fear (1994),Horror|Thriller,11,31,288,20
312,Stuart Saves His Family (1995),Comedy,10,23,311,37
313,"Swan Princess, The (1994)",Animation|Children,5,19,143,4
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,12,18,254,34
315,"Specialist, The (1994)",Action|Drama|Thriller,9,12,60,10
316,Stargate (1994),Action|Adventure|Sci-Fi,10,31,226,21
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,12,41,302,37
318,"Shawshank Redemption, The (1994)",Crime|Drama,7,21,103,18
319,Shallow Grave (1994),Comedy|Drama|Thriller,11,16,291,23
320,Suture (1993),Film-Noir|Thriller,5,32,1,6
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,6,48,151,11
322,Swimming with Sharks (1995),Comedy|Drama,9,33,9,16
324,"Sum of Us, The (1994)",Comedy|Drama,10,44,223,26
325,National Lampoon's Senior Trip (1995),Comedy,8,49,98,19
326,To Live (Huozhe) (1994),Drama,7,28,110,19
327,Tank Girl (1995),Action|Comedy|Sci-Fi,6,13,80,7
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,7,20,158,18
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,12,25,303,31
330,Tales from the Hood (1995),Action|Crime|Horror,6,40,178,1
331,Tom & Viv (1994),Drama,11,42,213,30
332,Village of the Damned (1995),Horror|Sci-Fi,11,22,284,35
333,Tommy Boy (1995),Comedy,6,36,10,6
334,Vanya on 42nd Street (1994),Drama,9,19,46,19
335,Underneath (1995),Mystery|Thriller,12,14,329,21
336,"Walking Dead, The (1995)",Drama|War,6,29,72,2
337,What's Eating Gilbert Grape (1993),Drama,8,30,122,5
338,Virtuosity (1995),Action|Sci-Fi|Thriller,7,43,186,18
339,While You Were Sleeping (1995),Comedy|Romance,6,19,24,4
340,"War, The (1994)",Adventure|Drama|War,6,50,132,16
341,Double Happiness (1994),Drama,8,18,177,4
342,Muriel's Wedding (1994),Comedy,7,18,3,13
343,"Baby-Sitters Club, The (1995)",Children,5,50,111,14
344,Ace Ventura: Pet Detective (1994),Comedy,8,26,25,8
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,8,24,127,13
346,Backbeat (1993),Drama|Musical,7,28,96,15
347,Bitter Moon (1992),Drama|Film-Noir|Romance,7,30,82,10
348,Bullets Over Broadway (1994),Comedy,11,49,351,37
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,6,14,147,0
350,"Client, The (1994)",Drama|Mystery|Thriller,10,40,230,24
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,5,40,156,11
352,Crooklyn (1994),Comedy|Drama,8,10,150,12
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,10,39,281,23
354,Cobb (1994),Drama,10,16,240,37
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,11,13,387,34
356,Forrest Gump (1994),Comedy|Drama|Romance|War,11,26,391,27
357,Four Weddings and a Funeral (1994),Comedy|Romance,11,38,364,34
358,Higher Learning (1995),Drama,12,37,234,39
359,I Like It Like That (1994),Comedy|Drama|Romance,7,32,139,16
360,I Love Trouble (1994),Action|Comedy,8,22,106,17
361,It Could Happen to You (1994),Comedy|Drama|Romance,10,34,217,22
362,"Jungle Book, The (1994)",Adventure|Children|Romance,7,37,127,5
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,11,39,233,33
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,10,14,375,33
365,Little Buddha (1993),Drama,9,30,47,8
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,11,36,370,24
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,11,28,378,32
368,Maverick (1994),Adventure|Comedy|Western,11,48,358,36
369,Mrs. Parker and the Vicious Circle (1994),Drama,11,50,316,31
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,5,39,34,1
371,"Paper, The (1994)",Comedy|Drama,8,14,127,4
372,Reality Bites (1994),Comedy|Drama|Romance,8,35,103,11
373,Red Rock West (1992),Thriller,7,24,11,13
374,Richie Rich (1994),Children|Comedy,12,44,303,20
375,Safe Passage (1994),Drama,12,22,293,27
376,"River Wild, The (1994)",Action|Thriller,12,17,232,31
377,Speed (1994),Action|Romance|Thriller,9,15,109,14
378,Speechless (1994),Comedy|Romance,6,50,156,13
379,Timecop (1994),Action|Sci-Fi|Thriller,10,42,365,39
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,10,49,202,29
381,When a Man Loves a Woman (1994),Drama|Romance,8,22,53,0
382,Wolf (1994),Drama|Horror|Romance|Thriller,6,32,135,15
383,Wyatt Earp (1994),Western,8,12,32,12
384,Bad Company (1995),Action|Crime|Drama,8,12,163,4
385,"Man of No Importance, A (1994)",Drama,10,31,338,24
386,S.F.W. (1994),Drama,11,30,370,28
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,5,44,77,11
388,Boys Life (1995),Drama,7,46,108,1
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,5,45,199,14
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,10,48,272,27
391,Jason's Lyric (1994),Crime|Drama,7,43,64,18
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,9,37,43,5
393,Street Fighter (1994),Action|Adventure|Fantasy,8,33,94,3
394,Coldblooded (1995),Comedy,5,20,53,19
395,Desert Winds (1995),Drama|Fantasy|Romance,12,31,250,30
396,Fall Time (1995),Drama,7,43,120,19
397,"Fear, The (1995)",Horror,12,13,372,32
398,Frank and Ollie (1995),Documentary,9,11,179,17
399,Girl in the Cadillac (1995),Drama,11,37,279,22
400,Homage (1995),Drama,9,37,4,12
401,Mirage (1995),Action|Thriller,11,35,376,24
402,Open Season (1996),Comedy,11,13,355,34
403,Two Crimes (Dos crímenes) (1995),Comedy|Crime|Drama,7,33,163,3
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,8,33,4,16
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,12,23,354,22
406,Federal Hill (1994),Drama,9,33,39,2
407,In the Mouth of Madness (1995),Horror|Thriller,6,47,142,7
408,8 Seconds (1994),Drama,5,17,113,8
409,Above the Rim (1994),Crime|Drama,8,40,41,18
410,Addams Family Values (1993),Children|Comedy|Fantasy,12,30,207,33
411,Martin Lawrence: You So Crazy (1994),Comedy|Documentary,6,10,8,12
412,"Age of Innocence, The (1993)",Drama,5,47,56,14
413,Airheads (1994),Comedy,8,44,93,9
414,"Air Up There, The (1994)",Comedy,6,13,87,11
415,Another Stakeout (1993),Comedy|Thriller,7,26,67,11
416,Bad Girls (1994),Western,7,27,3,1
417,Barcelona (1994),Comedy|Romance,8,14,42,17
418,Being Human (1993),Drama,9,48,53,18
419,"Beverly Hillbillies, The (1993)",Comedy,8,39,151,1
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,5,34,126,18
421,Black Beauty (1994),Adventure|Children|Drama,8,19,33,1
422,Blink (1994),Thriller,11,34,314,24
423,Blown Away (1994),Action|Thriller,11,47,227,28
424,Blue Chips (1994),Drama,11,34,298,39
425,Blue Sky (1994),Drama|Romance,12,39,223,36
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,9,47,158,13
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,11,38,383,22
428,"Bronx Tale, A (1993)",Drama,11,37,211,32
429,Cabin Boy (1994),Comedy,8,50,103,6
430,Calendar Girl (1993),Comedy|Drama,8,36,195,7
431,Carlito's Way (1993),Crime|Drama,5,28,6,18
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,7,15,77,8
433,Clean Slate (1994),Comedy,11,18,258,36
434,Cliffhanger (1993),Action|Adventure|Thriller,10,42,304,28
435,Coneheads (1993),Comedy|Sci-Fi,5,17,133,10
